NOMBRE,APELLIDO,FECHA_NACIMIENTO,CORREO,PASSWORD,NICK,NIVEL_USER,PUNTOS_CLASIF,CONECTADO
Sergio,Pascuzzo,1992-12-15,vodnik@hotmail.com.es,uI8(~qstW,VodnikJavier,199,6,1
Lyndy,Ranshaw, 2005-12-13,lranshaw1@slideshare.net,nV9&Y4FK,lranshaw1,69,44,0
Antonina,Bockmann, 1994-10-20,abockmann2@go.com,"rU7<~1MmQ'ooX",abockmann2,102,13,1
Correna,Dering, 1991-02-02,cdering3@cnbc.com,xP6`9#z#zM3l{MD9,cdering3,50,94,0
Gram,Thewles, 2012-09-10,gthewles4@behance.net,bV2>AT4P,gthewles4,240,55,1
Keary,Rushworth, 1988-04-25,krushworth5@microsoft.com,aW9%WPijD,krushworth5,173,19,1
Rhona,Gavey, 1998-03-26,rgavey6@gmpg.org,hG8`5vAr(,rgavey6,30,12,1
Andonis,Mordacai, 2012-10-17,amordacai7@usda.gov,aC8*`5`@,amordacai7,57,42,0
Normie,Enriquez, 2000-06-17,nenriquez8@salon.com,dQ5_|S2r|Khw|/w,nenriquez8,31,78,0
Blanch,McGovern, 2010-12-06,bmcgovern9@ebay.com,"zN3~t+p""",bmcgovern9,162,57,1
Gail,Eccleston, 1983-06-28,gecclestona@hibu.com,cY3_a|1u!x},gecclestona,99,87,1
Yorke,Giffon, 2007-05-23,ygiffonb@cbslocal.com,oU0*&O_<TNzq,ygiffonb,210,18,1
Christoforo,Van der Kruijs, 2012-07-17,cvanderkruijsc@scribd.com,"uT8""R!Ds}knx=YX",cvanderkruijsc,242,78,0
Sidonia,Lambden, 2013-02-17,slambdend@123-reg.co.uk,bE9+vizMLd,slambdend,125,85,1
Dagny,Shimwell, 2001-05-19,dshimwelle@slate.com,vF8@8*j\zycD,dshimwelle,171,8,1
Xavier,Berrisford, 1996-06-17,xberrisfordf@uol.com.br,iB2>g?We0#4*,xberrisfordf,190,83,1
Simonette,Thick, 2000-01-08,sthickg@homestead.com,sO7~YdUxaG$)WI\,sthickg,56,6,1
Neale,Leafe, 1997-08-09,nleafeh@infoseek.co.jp,hR3?mXiP~PX,nleafeh,57,57,1
Cob,Soal, 1985-06-28,csoali@pagesperso-orange.fr,eO7=%xTgN}C+?,csoali,218,67,0
Crysta,Granger, 1988-03-17,cgrangerj@networksolutions.com,"xD2""8Pf+!7chv5l",cgrangerj,171,29,1
Nettle,Gilvary, 1991-04-29,ngilvaryk@ucoz.com,iD3!A@DYEVyM,ngilvaryk,83,0,0
Iorgos,Dionsetto, 2002-12-31,idionsettol@smugmug.com,rY6/l*ycN2~~*sH,idionsettol,248,20,0
Bernie,D'Antuoni, 1990-04-29,bdantuonim@tmall.com,rT7>BH5x+,bdantuonim,12,96,0
Andy,Ledbetter, 1994-08-05,aledbettern@google.ca,"hB5+pmA9F",aledbettern,82,1,0
Uriah,Broomer, 2008-09-15,ubroomero@blogger.com,jP5'vipp,ubroomero,166,13,1
